ID;Estrella;Fecha;Magn;Obs;Comp1;Comp2;Carta;Notas
1;R Boo;2457504.3472;7.1;na;70;74;X16210NI;na
2;V Boo;2457504.3507;7.6;na;75;80;X16210MZ;na
3;R CVn;2457504.3750;<9.1;na;91;na;X16210AQB;na
4;S CrB;2457504.3924;<9.6;na;96;na;X16210ABN;na
5;R CrB;2457504.4153;<10.0;na;100;na;X16210UF;na
6;U Her;2457504.4299;8.8;na;87;89;X16156ANG;na
7;RU Her;2457504.4312;10.0;na;100;na;X16210AHI;na
8;X Her;2457504.4375;6.8;na;66;68;X16156AKT;na
9;ST Her;2457504.4500;7.6;na;76;74;X16208FI;na
10;g Her;2457504.4549;5.3;na;55;42;X16156AKU;na
11;R Lyr;2457504.4743;4.4;na;44;50;X16210AUR;na
12;T Her;2457504.4861;8.4;na;82;86;X16156ANF;na
13;AC Her;2457504.4910;7.5;na;74;76;X16208LJ;na
14;R Cyg;2457504.5035;<9.7;na;97;95;X16156CF;na
15;RT Cyg;2457504.5139;7.1;na;67;73;X16156CI;na
16;AF Cyg;2457504.5243;7.4;na;72;76;X16156CJ;na
17;U Cyg;2457504.5312;10.0;na;102;108;X16156CX;na
18;R CrB;2457512.4271;<10.0;na;100;na;X16210UF;na
19;g Her;2457512.4326;5.3;na;55;na;X16156AKU;na
20;X Her;2457512.4347;6.6;na;66;72;X16156AKT;na
21;ST Her;2457512.4403;7.7;na;78;76;X16208FI;na
22;BL Her;2457512.4465;10.2;na;100;102;X16208HF;na
23;AC Her;2457512.4500;7.4;na;74;69;X16208LJ;na
24;RU Her;2457512.4542;<9.6;na;96;92;X16210AHI;na
25;RT Cyg;2457512.4604;7.6;na;73;79;X16156CI;na
26;R Cyg;2457512.4618;<9.7;na;97;na;X16156CF;na
27;AF Cyg;2457512.4660;7.0;na;69;72;X16156CJ;na
28;U Cyg;2457512.4694;9.5;na;80;102;X16156CX;na
29;U Her;2457522.4132;7.4;na;74;73;X16156ANG;na
30;g Her;2457522.4188;5.2;na;55;42;X16156AKU;na
31;X Her;2457522.4215;6.8;na;66;70;X16156AKT;na
32;R CrB;2457522.4340;<8.9;na;89;na;X16210UF;na
33;S CrB;2457522.4340;<8.6;na;80;86;X16210ABN;na
34;T Her;2457522.4396;9.5;na;91;97;X16156ANF;na
35;AC Her;2457522.4451;7.9;na;76;80;X16208LJ;na
36;RU Her;2457522.4549;9.0;na;85;92;X16210AHI;na
37;R Cyg;2457522.4583;<9.7;na;97;na;X16156CF;na
38;RT Cyg;2457522.4653;7.5;na;73;79;X16156CI;na
39;AF Cyg;2457522.4722;7.0;na;69;72;X16156CJ;na
40;U Cyg;2457522.4785;9.5;na;97;102;X16156CX;na
41;khi Cyg;2457522.4910;<10.0;na;97;100w;X16225DPY;na
42;U Sge;2457522.4965;6.4;na;60;64;X16231KL;na
43;R Sge;2457522.5076;9.1;na;94;89;X16231KH;na
44;P Cyg;2457522.5125;4.4;na;46;49;X16231ND;na
45;U Del;2457522.5222;7.3;na;71;na;X16231MQ;na
46;EU Del;2457522.5222;6.2;na;62;68;X16231MS;na
47;R Vul;2457522.5278;<9.7;na;97;na;X16231MZ;na
48;W Cyg;2457522.5306;5.2;na;52;56;X16231NC;na
49;T Her;2457535.4236;<9.7;na;97;na;X16156ANF;na
50;BL Her;2457535.4319;<10.0;na;100;na;X16208HF;na
51;AC Her;2457535.4375;7.6;na;74;78;X16208LJ;na
52;khi Cyg;2457535.4438;<10.0;na;100;na;X16225DPY;na
53;R Cyg;2457535.4472;<9.7;na;97;na;X16156CF;na
54;RT Cyg;2457535.4493;8.0;na;79;81;X16156CI;na
55;AF Cyg;2457535.4535;6.9;na;69;70;X16156CJ;na
56;U Cyg;2457535.4562;9.0;na;80;97;X16156CX;na
57;Z Cyg;2457535.4618;8.4;na;80;86;X16238ADU;na
58;P Cyg;2457535.4653;4.9;na;49;50;X16231ND;na
59;X Cyg;2457535.4708;6.4;na;66;62;X16238ADT;na
60;W Cyg;2457535.4750;5.5;na;56;52;X16231NC;na
61;U Sge;2457535.4833;8.1;na;81;85;X16231KL;na
62;R Sge;2457535.4896;9.4;na;94;89;X16231KH;na
63;U Del;2457535.4944;6.9;na;68;71;X16231MQ;na
64;EU Del;2457535.4965;6.2;na;62;64;X16231MS;na
65;R Vul;2457535.5049;<9.7;na;93;97;X16231MZ;na
66;U Her;2457540.3944;7.9;na;74;79;X16156ANG;na
67;SU Cyg;2457540.4257;6.9;na;69;72;X16242DCF;na
68;U Sge;2457540.4271;6.4;na;64;na;X16231KL;na
69;U Vul;2457540.4299;7.1;na;70;73;X16241DGS;na
70;S Sge;2457540.4424;5.2;na;51;55;X16242DCE;na
71;R Del;2457540.4562;<9.7;na;97;na;X16231MV;na
72;T Vul;2457540.4660;6.1;na;56;64;X16242DCD;na
73;EU Del;2457540.4708;6.4;na;64;62;X16231MS;na
